code_commune_INSEE,nom_commune,code_postal,code_departement,nom_departement,nom_region,PTOT
01001,Abergement-Clémenciat,1400,1,Ain,Auvergne-Rhône-Alpes,794.0
01002,Abergement-de-Varey,1640,1,Ain,Auvergne-Rhône-Alpes,249.0
01004,Ambérieu-en-Bugey,1500,1,Ain,Auvergne-Rhône-Alpes,14428.0
01005,Ambérieux-en-Dombes,1330,1,Ain,Auvergne-Rhône-Alpes,1723.0
01006,Ambléon,1300,1,Ain,Auvergne-Rhône-Alpes,117.0
01007,Ambronay,1500,1,Ain,Auvergne-Rhône-Alpes,2841.0
01008,Ambutrix,1500,1,Ain,Auvergne-Rhône-Alpes,767.0
01009,Andert-et-Condon,1300,1,Ain,Auvergne-Rhône-Alpes,339.0
01010,Anglefort,1350,1,Ain,Auvergne-Rhône-Alpes,1132.0
01011,Apremont,1100,1,Ain,Auvergne-Rhône-Alpes,387.0
01012,Aranc,1110,1,Ain,Auvergne-Rhône-Alpes,330.0
01013,Arandas,1230,1,Ain,Auvergne-Rhône-Alpes,148.0
01014,Arbent,1100,1,Ain,Auvergne-Rhône-Alpes,3459.0
01015,Arboys en Bugey,1300,1,Ain,Auvergne-Rhône-Alpes,661.0
01015,Arboys en Bugey,1300,1,Ain,Auvergne-Rhône-Alpes,661.0
01016,Arbigny,1190,1,Ain,Auvergne-Rhône-Alpes,468.0
01017,Argis,1230,1,Ain,Auvergne-Rhône-Alpes,458.0
01019,Armix,1510,1,Ain,Auvergne-Rhône-Alpes,29.0
01021,Ars-sur-Formans,1480,1,Ain,Auvergne-Rhône-Alpes,1438.0
01022,Artemare,1510,1,Ain,Auvergne-Rhône-Alpes,1255.0
01023,Asnières-sur-Saône,1570,1,Ain,Auvergne-Rhône-Alpes,66.0
01024,Attignat,1340,1,Ain,Auvergne-Rhône-Alpes,3275.0
01025,Bâgé-Dommartin,1380,1,Ain,Auvergne-Rhône-Alpes,4200.0
01026,Bâgé-le-Châtel,1380,1,Ain,Auvergne-Rhône-Alpes,983.0
01027,Balan,1360,1,Ain,Auvergne-Rhône-Alpes,2741.0
01028,Baneins,1990,1,Ain,Auvergne-Rhône-Alpes,611.0
01029,Beaupont,1270,1,Ain,Auvergne-Rhône-Alpes,697.0
01030,Beauregard,1480,1,Ain,Auvergne-Rhône-Alpes,880.0
01031,Bellignat,1100,1,Ain,Auvergne-Rhône-Alpes,3859.0
01032,Béligneux,1360,1,Ain,Auvergne-Rhône-Alpes,3362.0
01032,Béligneux,1360,1,Ain,Auvergne-Rhône-Alpes,3362.0
01032,Béligneux,1360,1,Ain,Auvergne-Rhône-Alpes,3362.0
01032,Béligneux,1360,1,Ain,Auvergne-Rhône-Alpes,3362.0
01033,Bellegarde-sur-Valserine,1200,1,Ain,Auvergne-Rhône-Alpes,16804.0
01034,Belley,1300,1,Ain,Auvergne-Rhône-Alpes,9499.0
01035,Belleydoux,1130,1,Ain,Auvergne-Rhône-Alpes,322.0
01036,Belmont-Luthézieu,1260,1,Ain,Auvergne-Rhône-Alpes,1329.0
01036,Belmont-Luthézieu,1260,1,Ain,Auvergne-Rhône-Alpes,1329.0
01037,Bénonces,1470,1,Ain,Auvergne-Rhône-Alpes,302.0
01038,Bény,1370,1,Ain,Auvergne-Rhône-Alpes,777.0
01039,Béon,1350,1,Ain,Auvergne-Rhône-Alpes,462.0
01040,Béréziat,1340,1,Ain,Auvergne-Rhône-Alpes,501.0
01041,Bettant,1500,1,Ain,Auvergne-Rhône-Alpes,769.0
01042,Bey,1290,1,Ain,Auvergne-Rhône-Alpes,293.0
01043,Beynost,1700,1,Ain,Auvergne-Rhône-Alpes,4721.0
01044,Billiat,1200,1,Ain,Auvergne-Rhône-Alpes,637.0
01045,Birieux,1330,1,Ain,Auvergne-Rhône-Alpes,287.0
01046,Biziat,1290,1,Ain,Auvergne-Rhône-Alpes,885.0
01047,Blyes,1150,1,Ain,Auvergne-Rhône-Alpes,1032.0
01049,Boisse,1120,1,Ain,Auvergne-Rhône-Alpes,3267.0
01050,Boissey,1190,1,Ain,Auvergne-Rhône-Alpes,342.0
01050,Boissey,1380,1,Ain,Auvergne-Rhône-Alpes,342.0
01051,Bolozon,1450,1,Ain,Auvergne-Rhône-Alpes,90.0
01052,Bouligneux,1330,1,Ain,Auvergne-Rhône-Alpes,334.0
01053,Bourg-en-Bresse,1000,1,Ain,Auvergne-Rhône-Alpes,43306.0
01053,Bourg-en-Bresse,1000,1,Ain,Auvergne-Rhône-Alpes,43306.0
01054,Bourg-Saint-Christophe,1800,1,Ain,Auvergne-Rhône-Alpes,1395.0
01054,Bourg-Saint-Christophe,1800,1,Ain,Auvergne-Rhône-Alpes,1395.0
01056,Boyeux-Saint-Jérôme,1640,1,Ain,Auvergne-Rhône-Alpes,351.0
01057,Boz,1190,1,Ain,Auvergne-Rhône-Alpes,519.0
01058,Brégnier-Cordon,1300,1,Ain,Auvergne-Rhône-Alpes,852.0
01059,Brénaz,1260,1,Ain,Auvergne-Rhône-Alpes,
01060,Brénod,1110,1,Ain,Auvergne-Rhône-Alpes,530.0
01061,Brens,1300,1,Ain,Auvergne-Rhône-Alpes,1193.0
01062,Bressolles,1360,1,Ain,Auvergne-Rhône-Alpes,931.0
01062,Bressolles,1360,1,Ain,Auvergne-Rhône-Alpes,931.0
01063,Brion,1460,1,Ain,Auvergne-Rhône-Alpes,528.0
01064,Briord,1470,1,Ain,Auvergne-Rhône-Alpes,1026.0
01065,Buellas,1310,1,Ain,Auvergne-Rhône-Alpes,1845.0
01065,Buellas,1310,1,Ain,Auvergne-Rhône-Alpes,1845.0
01066,Burbanche,1510,1,Ain,Auvergne-Rhône-Alpes,78.0
01067,Ceignes,1430,1,Ain,Auvergne-Rhône-Alpes,267.0
01068,Cerdon,1450,1,Ain,Auvergne-Rhône-Alpes,797.0
01069,Certines,1240,1,Ain,Auvergne-Rhône-Alpes,1557.0
