code_uic,Code postal,Segmentation DRG,Total Voyageurs,Total Voyageurs + Non Voyageurs,Année
87313759,60220,C,39720,39720,2015
87313759,60220,C,41096,41096,2016
87313759,60220,C,43760,43760,2017
87313759,60220,C,40228,40228,2018
87313759,60220,C,42685,42685,2019
87313759,60220,C,32396,32396,2020
87313759,60220,C,51811,51811,2021
87313759,60220,C,71517,71517,2022
87313759,60220,C,77974,77974,2023
87481614,44170,C,35989,35989,2015
87481614,44170,C,33021,33021,2016
87481614,44170,C,35637,35637,2017
87481614,44170,C,38027,38027,2018
87481614,44170,C,38473,38473,2019
87481614,44170,C,22773,22773,2020
87481614,44170,C,27466,27466,2021
87481614,44170,C,40825,40825,2022
87481614,44170,C,54862,54862,2023
87317362,80100,B,758410,924890,2015
87317362,80100,B,727081,886684,2016
87317362,80100,B,750298,914998,2017
87317362,80100,B,710325,866250,2018
87317362,80100,B,757362,923612,2019
87317362,80100,B,505759,616779,2020
87317362,80100,B,650701,793538,2021
87317362,80100,B,841557,1026289,2022
87317362,80100,B,922376,1124849,2023
87545269,94480,B,1427319,1427319,2015
87545269,94480,B,1453063,1453063,2016
87545269,94480,B,1471462,1471462,2017
87545269,94480,B,1462108,1462108,2018
87545269,94480,B,1457253,1457253,2019
87545269,94480,B,660309,660309,2020
87545269,94480,B,1594567,1594567,2021
87545269,94480,B,1203692,1203692,2022
87545269,94480,B,1280926,1280926,2023
87316745,80560,C,898,898,2015
87316745,80560,C,308,308,2016
87316745,80560,C,104,104,2017
87316745,80560,C,235,235,2018
87316745,80560,C,2,2,2019
87316745,80560,C,0,0,2020
87316745,80560,C,0,0,2021
87316745,80560,C,2,2,2022
87316745,80560,C,0,0,2023
87342048,62121,C,92018,92018,2015
87342048,62121,C,92084,92084,2016
87342048,62121,C,96451,96451,2017
87342048,62121,C,92323,92323,2018
87342048,62121,C,97848,97848,2019
87342048,62121,C,67305,67305,2020
87342048,62121,C,71432,71432,2021
87342048,62121,C,80648,80648,2022
87342048,62121,C,82597,82597,2023
87386052,78100,B,241046,241046,2015
87386052,78100,B,238687,238687,2016
87386052,78100,B,235698,235698,2017
87386052,78100,B,228032,228032,2018
87386052,78100,B,221003,221003,2019
87386052,78100,B,126513,126513,2020
87386052,78100,B,209673,209673,2021
87386052,78100,B,177092,177092,2022
87386052,78100,B,188426,188426,2023
87381657,78260,B,3389509,3389509,2015
87381657,78260,B,3454567,3454567,2016
87381657,78260,B,3497615,3497615,2017
87381657,78260,B,3478859,3478859,2018
87381657,78260,B,3468208,3468208,2019
87381657,78260,B,1597517,1597517,2020
87381657,78260,B,2443547,2443547,2021
87381657,78260,B,3645213,3645213,2022
87381657,78260,B,3694037,3694037,2023
87757559,83530,C,19121,19121,2015
87757559,83530,C,19240,19240,2016
87757559,83530,C,14154,14154,2017
87757559,83530,C,15093,15093,2018
87757559,83530,C,22284,22284,2019
87757559,83530,C,15390,15390,2020
87757559,83530,C,25094,25094,2021
87757559,83530,C,32800,32800,2022
87757559,83530,C,39364,39364,2023
87781278,34300,B,662516,828146,2015
87781278,34300,B,660656,825820,2016
87781278,34300,B,697091,871364,2017
87781278,34300,B,588297,735372,2018
87781278,34300,B,542288,677860,2019
87781278,34300,B,394380,492975,2020
87781278,34300,B,561160,701450,2021
87781278,34300,B,689202,861503,2022
87781278,34300,B,757491,946864,2023
87586008,47000,A,1183150,1478938,2015
87586008,47000,A,1141620,1427026,2016
87586008,47000,A,1194455,1493068,2017
87586008,47000,A,1109199,1386499,2018
87586008,47000,A,1211323,1514154,2019
87586008,47000,A,860964,1076205,2020
87586008,47000,A,1184007,1480009,2021
87586008,47000,A,1540511,1925639,2022
87586008,47000,A,1640325,2050407,2023
87595157,24460,C,1127,1127,2015
87595157,24460,C,1134,1134,2016
87595157,24460,C,1583,1583,2017
87595157,24460,C,1492,1492,2018
87595157,24460,C,2538,2538,2019
87595157,24460,C,3271,3271,2020
87595157,24460,C,4119,4119,2021
