code_uic,libelle,fret,code_ligne,geometry,code_postal,Segmentation DRG,Total Voyageurs,Total Voyageurs + Non Voyageurs,Année
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,17749.0,17749.0,2015
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,13502.0,13502.0,2016
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,11507.0,11507.0,2017
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,11104.0,11104.0,2018
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,10886.0,10886.0,2019
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,7664.0,7664.0,2020
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,9147.0,9147.0,2021
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,9903.0,9903.0,2022
87009696,La Douzillère,False,594000,POINT (0.653001386682487 47.338661406198106),37300,C,6573.0,6573.0,2023
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,28392626.0,28392626.0,2015
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,28638151.0,28638151.0,2016
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,29470800.0,29470800.0,2017
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,29752335.0,29752335.0,2018
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,30264172.0,30264172.0,2019
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,6688269.0,6688269.0,2020
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,24737930.0,24737930.0,2021
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,35649320.0,35649320.0,2022
87382218,La Défense,False,973000,POINT (2.238471684534598 48.89343723768303),92800,B,28148302.0,28148302.0,2023
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,11908.0,11908.0,2015
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,11428.0,11428.0,2016
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,8714.0,8714.0,2017
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,4466.0,4466.0,2018
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,5284.0,5284.0,2019
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,6415.0,6415.0,2020
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,6242.0,6242.0,2021
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,8622.0,8622.0,2022
87718122,Byans,False,871000,POINT (5.852088069196295 47.11832925171314),25320,C,5449.0,5449.0,2023
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,11419.0,11419.0,2015
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,12411.0,12411.0,2016
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,8453.0,8453.0,2017
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,9539.0,9539.0,2018
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,13321.0,13321.0,2019
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,6775.0,6775.0,2020
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,9180.0,9180.0,2021
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,13668.0,13668.0,2022
87721829,Chamelet,False,775000,POINT (4.5070162445436 45.98167025802479),69620,C,14564.0,14564.0,2023
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,41392.0,41392.0,2015
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,41127.0,41127.0,2016
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,39823.0,39823.0,2017
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,38393.0,38393.0,2018
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,45614.0,45614.0,2019
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,30059.0,30059.0,2020
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,37499.0,37499.0,2021
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,55145.0,55145.0,2022
87471060,L'Hermitage-Mordelles,True,420000,POINT (-1.819211515267763 48.123335774601024),35590,C,60286.0,60286.0,2023
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,840726.0,966352.0,2015
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,796200.0,915172.0,2016
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,825899.0,949309.0,2017
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,717835.0,825097.0,2018
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,801402.0,921152.0,2019
87174003,Châlons-en-Champagne,True,070000,POINT (4.348974315249644 48.95527794983048),51000,B,468771.0,538817.0,2020
